[2026-04-13T21:01:01.007Z] Starting pipeline test for 5633 N Kenmore, Chicago, IL
[2026-04-13T21:01:01.040Z] Created report: ac25edf8-9d51-4cc8-97f8-5bbb0d979d80
[2026-04-13T21:01:01.086Z] Uploaded photo 1/10: IMG_7478.jpg
[2026-04-13T21:01:01.115Z] Uploaded photo 2/10: IMG_7479.jpg
[2026-04-13T21:01:01.143Z] Uploaded photo 3/10: IMG_7480.jpg
[2026-04-13T21:01:01.175Z] Uploaded photo 4/10: IMG_7481.jpg
[2026-04-13T21:01:01.213Z] Uploaded photo 5/10: IMG_7482.jpg
[2026-04-13T21:01:01.235Z] Uploaded photo 6/10: IMG_7483.jpg
[2026-04-13T21:01:01.254Z] Uploaded photo 7/10: IMG_7484.jpg
[2026-04-13T21:01:01.281Z] Uploaded photo 8/10: IMG_7485.jpg
[2026-04-13T21:01:01.304Z] Uploaded photo 9/10: IMG_7486.jpg
[2026-04-13T21:01:01.338Z] Uploaded photo 10/10: IMG_7487.jpg
[2026-04-13T21:01:02.161Z] Running pipeline (stages 1-7)...
